date,trip_count,avg_fare,total_fare,avg_total_amount,total_revenue,avg_distance,avg_duration,avg_tip,avg_passengers,source_file
2013-01-01,409050,12.725597799779978,5205405.78,14.777093631585382,6044570.15,3.375243075418653,11.163758464735363,1.0684191663610805,1.8380662510695513,2013-01
2013-01-02,389841,11.896467431593905,4637730.76,14.138407709809897,5511731.0,3.029305460431304,11.230170291648816,1.1075607747774092,1.715691782034214,2013-01
2013-01-03,438155,11.465754493272929,5023777.66,13.654551562803118,5982810.04,2.7899652862571465,11.300080032560775,1.1163547603017197,1.6975180016204312,2013-01
2013-01-04,475467,11.20140951948295,5325900.58,13.375566316905273,6359640.39,2.6761590814925116,11.121728181626345,1.117324525151062,1.7089682354401041,2013-01
2013-01-05,470595,11.224733794451703,5282303.6,13.164563605648167,6195177.81,2.765861111996515,10.669943511228693,1.0743795195444066,1.7832807403393576,2013-01
2013-01-06,400525,11.909545396666875,4770070.67,14.021242219586792,5615858.04,3.095447375319893,10.647702224164119,1.1878984333062856,1.7518931402534175,2013-01
2013-01-07,404467,11.563611790331473,4677099.37,13.9074742562434,5625114.39,2.854518984243461,11.080541346183166,1.2473948925375866,1.6440772671194437,2013-01
2013-01-08,438833,11.361213946991224,4985675.6,13.67989551834069,6003189.59,2.708311225454786,11.30815124052506,1.2611993400678618,1.6440696119024778,2013-01
2013-01-09,454484,11.419410078242578,5189939.17,13.763500013201785,6255290.54,2.704737152463013,11.416100896841254,1.284108241434242,1.6508876000035204,2013-01
2013-01-10,485043,11.680328342023284,5665461.5,14.096547976158815,6837431.92,2.750150893838278,11.941339874334165,1.332781609053218,1.6535193786942601,2013-01
2013-01-11,518220,11.586647466327044,6004432.45,13.930252691906912,7218935.55,2.673009088803983,12.250568162813735,1.2791110146269924,1.686735363359191,2013-01
2013-01-12,504560,11.291129835896623,5697052.47,13.30219833121928,6711757.19,2.718134255589028,11.03705046641298,1.1496631520532743,1.7628508006976376,2013-01
2013-01-13,439659,12.002418260515535,5276971.21,14.204865725482703,6245297.06,3.0618401533916058,10.958867554172665,1.2647383767874647,1.748198035295536,2013-01
2013-01-14,440697,11.556515043215633,5092921.51,13.973120670211053,6157912.36,2.8215748915921828,11.13468134946838,1.3126344631345346,1.6483048443715296,2013-01
2013-01-15,494071,11.403879705548393,5634326.25,13.811673909215477,6823947.54,2.685348320383103,11.53281596504686,1.3337941712830748,1.6516047288749998,2013-01
2013-01-16,497120,11.6234052944963,5778227.24,14.097385681525587,7008092.37,2.721126870775668,12.013990015824483,1.3889690416800773,1.6567408271644672,2013-01
2013-01-17,509271,11.795648564320372,6007181.74,14.273601991866805,7269131.56,2.7959967875649703,11.949773827032496,1.378813794620153,1.659578102817557,2013-01
2013-01-18,540511,11.784219266582918,6369500.14,14.171891062346557,7660063.01,2.7477490189838876,12.204282891560025,1.301925122707956,1.6951606905317376,2013-01
2013-01-19,507516,11.370182871081898,5770549.73,13.35617891849715,6778474.5,2.7388095744764698,11.006027921615608,1.124781819686473,1.7860993545031092,2013-01
2013-01-20,456585,11.57159641687747,5283417.35,13.631486448306449,6223932.24,2.9097944084891094,10.574000897970805,1.164599275052838,1.7725724673390497,2013-01
2013-01-21,381971,11.73877577093549,4483871.92,13.945629380240907,5326826.0,3.039953111623657,10.274516215454401,1.2812174746250369,1.6942045338520464,2013-01
2013-01-22,493182,11.356815942187671,5600977.2,13.746023253078986,6779291.24,2.676265942390436,11.381351880914822,1.3192014712621305,1.6510659350908996,2013-01
2013-01-23,517344,11.284283204212285,5837856.21,13.642053121327395,7057634.33,2.60369363518278,11.53756001809241,1.3060397530463288,1.6627833704459702,2013-01
2013-01-24,528783,11.42858909987651,6043243.63,13.80678673482317,7300794.11,2.6604915059674763,11.64935934652463,1.2986898784567582,1.6952322597360354,2013-01
2013-01-25,533935,11.683202112616703,6238070.52,14.044919943438808,7499074.33,2.663497541835617,12.498909948464389,1.3172602470338148,1.6894603275679625,2013-01
2013-01-26,554284,11.186677551580056,6200596.38,13.17050661754624,7300201.09,2.649735604852386,11.231049576270166,1.1594697844426325,1.770787177692302,2013-01
2013-01-27,467805,11.94977289682667,5590163.51,14.103381344791098,6597632.31,3.0117943587605946,11.200898558159917,1.2667108089909258,1.750825664539712,2013-01
2013-01-28,448248,11.523961467758918,5165592.68,13.932170874158949,6245067.73,2.7639247693241242,11.588396081335926,1.3260889284503221,1.648143438453713,2013-01
2013-01-29,474666,11.46536305528519,5442218.02,13.87486257705418,6585925.52,2.666274896453506,11.799698033283756,1.3434955105274025,1.6517467018914351,2013-01
2013-01-30,479644,11.614732885223209,5570936.94,14.051383713754367,6739661.89,2.6963581531302383,12.006979759988658,1.3755383159176389,1.6467171485518426,2013-01
2013-01-31,528124,11.75555697146882,6208391.77,14.238425464474252,7519654.21,2.7345828252455866,12.223175144473647,1.3912664639364998,1.6633366406374261,2013-01
2013-02-01,563828,11.77094413544556,6636787.89,14.162241623331939,7985068.37,2.682828362550281,12.342857721385482,1.3253835566875005,1.6912817384024916,2013-02
2013-02-02,566865,11.089300203752217,6286136.16,13.061381087207712,7404039.79,2.5966710945286797,11.108197542624788,1.144106991964577,1.7746359362458433,2013-02
2013-02-03,469775,11.579877366824544,5439936.89,13.716677792560267,6443752.31,2.9587060826991642,10.378321536905966,1.2428419136820819,1.7427428024054068,2013-02
2013-02-04,454231,11.631488339633359,5283382.58,14.063929850670695,6388272.92,2.78532407519522,11.514416893606997,1.3348577926209353,1.6487624138378931,2013-02
2013-02-05,479767,11.45925605554363,5497772.9,13.860404571385693,6649764.72,2.633593932054518,11.908305177304817,1.3453658755187414,1.6435957454347632,2013-02
2013-02-06,503563,11.553189491682271,5817758.76,13.995755188526559,7047744.47,2.6641984419029994,11.99435390076978,1.3725446269880828,1.6583347068787817,2013-02
2013-02-07,531785,11.996575608563612,6379598.96,14.505269498011415,7713684.74,2.7598116344011205,12.649502524516487,1.4194680180900177,1.6577282172306478,2013-02
2013-02-08,430149,10.798909633638576,4645140.18,12.963973088394951,5576440.06,2.439054629907311,11.464759730542983,1.2201792169690038,1.689951621414905,2013-02
2013-02-09,389909,10.74196012402894,4188386.93,12.710083045018195,4955775.77,2.549520631737149,10.792497693906355,1.1340062424822202,1.7846189751967767,2013-02
2013-02-10,455650,11.84254923735323,5396057.56,14.013417952375725,6385213.89,2.966055042247339,11.220200446248947,1.2625096894546253,1.7628025897070119,2013-02
2013-02-11,455966,11.844410701675125,5400648.57,14.287564533320468,6514643.65,2.7647647631621655,12.389076341949472,1.355145646824544,1.6534610036713264,2013-02
2013-02-12,500874,11.85574391962849,5938233.88,14.309298486246043,7167155.57,2.7142091623841527,12.453104573206035,1.3798752181187284,1.6629052416376175,2013-02
2013-02-13,521017,11.833247149325262,6165322.93,14.303203120051744,7452211.9799999995,2.7308062500839703,12.436261484750018,1.3899742810695237,1.6627710804062055,2013-02
2013-02-14,524182,12.119302532326559,6352720.24,14.597058636122567,7651515.39,2.7856313265239936,12.921123611010426,1.3889539511085844,1.6847965019783204,2013-02
2013-02-15,533627,12.173041918793464,6495863.84,14.581252035597899,7780949.78,2.846074092952568,12.788116699492342,1.3156910163841036,1.6934150633307534,2013-02
2013-02-16,539264,11.402993227806789,6149223.74,13.368332894463565,7209060.67,2.730206262609779,11.228444231396868,1.110496213357465,1.793153260740565,2013-02
2013-02-17,503281,11.43293974936467,5753981.35,13.444392397090294,6766307.25,2.8297332901500356,10.66820725731086,1.1294668783443047,1.791961150927613,2013-02
2013-02-18,404242,11.748367908332138,4749183.74,13.929700748561505,5630970.09,3.0476966272678245,10.315479630188518,1.255310333908896,1.7070566640774585,2013-02
2013-02-19,453588,11.789397404693247,5347529.19,14.218473460497192,6449328.94,2.8074620360326996,11.985663274454645,1.3381046015326683,1.6609037276118417,2013-02
2013-02-20,509565,11.465696172225329,5842517.47,13.859213525261742,7062170.14,2.6756256218539343,11.650689476972188,1.325040770068588,1.659935435126039,2013-02
2013-02-21,534962,11.603950299273594,6207672.46,14.035637577996194,7508532.75,2.7125300114774507,11.868511345977222,1.3476254201232984,1.669092384131957,2013-02
2013-02-22,555504,11.782576831129928,6545268.56,14.17743969440364,7875624.46,2.7475095768887354,12.086620678398956,1.318747533771134,1.6993198968864311,2013-02
2013-02-23,581907,11.199042836741954,6516801.42,13.174061886177688,7666078.83,2.6595882503561565,11.282306279182068,1.1577717917124215,1.7760363769468317,2013-02
2013-02-24,471721,11.932464677213861,5628794.17,14.081966289395638,6642759.22,3.0425759294159045,10.978210849209596,1.2603635411609828,1.7443361648092834,2013-02
2013-02-25,448970,11.778147671336615,5288034.96,14.24033345212375,6393482.51,2.8927001581397422,11.392815629849062,1.3480382430897386,1.6528008552909994,2013-02
2013-02-26,493740,11.568336735933892,5711750.58,13.996437497468303,6910601.05,2.7101100174180743,11.822384115796439,1.3506868189735488,1.6611961761250862,2013-02
2013-02-27,505978,11.745485752344964,5942957.39,14.21639140436936,7193181.29,2.724987983667274,12.287923157396829,1.3979626386918007,1.6574633679725206,2013-02
2013-02-28,521826,12.008750158098676,6266478.06,14.525758337070211,7579918.37,2.8267325315334997,12.407786982634057,1.4160256675596847,1.6662163249818904,2013-02
2013-03-01,561083,11.920862813523133,6688593.47,14.341675901782802,8046870.54,2.8002753781526084,12.278350588653254,1.328905652104947,1.6964317222229153,2013-03
2013-03-02,581618,11.428322782307289,6646918.24,13.436963436482364,7815179.8,2.71550560677283,11.371448499415997,1.1616900783675883,1.7854106991186656,2013-03
2013-03-03,490273,12.212565121881076,5987490.94,14.427206087220794,7073269.61,3.0796827277863557,11.406298293671757,1.2766495197573597,1.7609984641210101,2013-03
2013-03-04,463669,11.819351886798557,5480267.07,14.28338277952591,6622761.81,2.8586760598616685,11.70267849119379,1.3362551518432328,1.650912612229845,2013-03
2013-03-05,490845,11.723464311544378,5754403.84,14.173133677637543,6956811.8,2.7362986482494476,12.0849079987912,1.35435695586183,1.655520581853742,2013-03
